,repetition_number,weight_index,weight_tuple,num_iterations,vehicle_id,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
380,10,9,"[0.3102001663883069, 0.6897998336116932]",23,0,0.2028579064172959,0.898245051225608,4.665731847597805,20.659636178188986
381,10,9,"[0.3102001663883069, 0.6897998336116932]",23,1,0.22093914533138403,0.9087505637287299,5.081600342621833,20.901262965760786
382,11,9,"[0.3102001663883069, 0.6897998336116932]",23,0,0.20509031884939746,0.8934278545917473,4.717077333536142,20.54884065561019
383,11,9,"[0.3102001663883069, 0.6897998336116932]",23,1,0.26736878264774305,0.8896709256230454,6.14948200089809,20.462431289330045
384,12,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.4035381894716569,0.836207735678878,32.283055157732555,66.89661885431023
385,12,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.400489948507322,0.8525291582304474,32.03919588058576,68.2023326584358
386,13,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.37766873478077523,0.8401970930206855,30.21349878246202,67.21576744165483
387,13,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.35441913864367414,0.8461244390095258,28.35353109149393,67.68995512076206
388,14,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.297678587050848,0.8761518091457174,23.81428696406784,70.0921447316574
389,14,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.34114826893732475,0.8632320008322276,27.291861514985982,69.05856006657821
390,15,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.3180638624641334,0.8745476528628184,25.44510899713067,69.96381222902548
391,15,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.3611397606633532,0.8502337372590235,28.891180853068253,68.01869898072188
392,16,9,"[0.3102001663883069, 0.6897998336116932]",69,0,0.30425633090226717,0.7875161611071773,20.993686832256433,54.33861511639523
393,16,9,"[0.3102001663883069, 0.6897998336116932]",69,1,0.2352868234366964,0.6009065184081016,16.23479081713205,41.46254977015901
394,17,9,"[0.3102001663883069, 0.6897998336116932]",80,0,0.4109447068697034,0.8363520368827014,32.87557654957627,66.90816295061612
395,17,9,"[0.3102001663883069, 0.6897998336116932]",80,1,0.40627363109258985,0.8378686525839057,32.50189048740719,67.02949220671246
396,18,9,"[0.3102001663883069, 0.6897998336116932]",8,0,0.20670860382939055,0.8556266610720584,1.6536688306351244,6.845013288576467
397,18,9,"[0.3102001663883069, 0.6897998336116932]",8,1,0.3032210802891318,0.8795842996132803,2.4257686423130544,7.036674396906243
398,19,9,"[0.3102001663883069, 0.6897998336116932]",73,0,0.3430482050954799,0.8537278240733969,25.042518971970033,62.32213115735797
399,19,9,"[0.3102001663883069, 0.6897998336116932]",73,1,0.37062673236278787,0.8546565457559443,27.055751462483514,62.38992784018394
400,0,10,"[0.3447218616939823, 0.6552781383060177]",34,0,0.26128709886594786,0.8894085775656515,8.883761361442227,30.23989163723215
401,0,10,"[0.3447218616939823, 0.6552781383060177]",34,1,0.43603371482708103,0.8409757141476435,14.825146304120755,28.593174281019877
402,1,10,"[0.3447218616939823, 0.6552781383060177]",79,0,0.34256597726797094,0.8548712767015911,27.062712204169703,67.5348308594257
403,1,10,"[0.3447218616939823, 0.6552781383060177]",79,1,0.3629860818360324,0.8518948057026517,28.675900465046563,67.29968965050949
404,2,10,"[0.3447218616939823, 0.6552781383060177]",19,0,0.20843794933746795,0.8909204767409449,3.9603210374118913,16.927489058077953
405,2,10,"[0.3447218616939823, 0.6552781383060177]",19,1,0.2366362107519425,0.905089044608102,4.496088004286907,17.19669184755394
406,3,10,"[0.3447218616939823, 0.6552781383060177]",28,0,0.2531514595160723,0.8942074506841075,7.088240866450025,25.037808619155008
407,3,10,"[0.3447218616939823, 0.6552781383060177]",28,1,0.2384837085988967,0.8968233874398657,6.677543840769108,25.11105484831624
408,4,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.3612989031822215,0.748378521946396,28.903912254577723,59.87028175571168
409,4,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.2591945887445062,0.6088512548451419,20.735567099560495,48.70810038761135
410,5,10,"[0.3447218616939823, 0.6552781383060177]",17,0,0.1594843796264379,0.8274531092010213,2.7112344536494444,14.066702856417363
411,5,10,"[0.3447218616939823, 0.6552781383060177]",17,1,0.14904830790072746,0.7270509542098287,2.533821234312367,12.359866221567088
412,6,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.26587925406195445,0.8940272611063232,21.270340324956358,71.52218088850586
413,6,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.30281880416430695,0.8847922272149834,24.225504333144556,70.78337817719867
414,7,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.3837896545716001,0.7764645810542377,30.703172365728005,62.117166484339016
415,7,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.20459690474824402,0.6028654967309531,16.36775237985952,48.22923973847625
416,8,10,"[0.3447218616939823, 0.6552781383060177]",22,0,0.2210123080658314,0.8911737046559064,4.86227077744829,19.60582150242994
417,8,10,"[0.3447218616939823, 0.6552781383060177]",22,1,0.3007824474291845,0.8908259770251064,6.617213843442059,19.59817149455234
418,9,10,"[0.3447218616939823, 0.6552781383060177]",12,0,0.18377241890585946,0.8879479559717728,2.2052690268703135,10.655375471661273
419,9,10,"[0.3447218616939823, 0.6552781383060177]",12,1,0.26023935483973165,0.8965321475431883,3.12287225807678,10.75838577051826
420,10,10,"[0.3447218616939823, 0.6552781383060177]",12,0,0.18114579753390866,0.9078479609355727,2.173749570406904,10.894175531226873
421,10,10,"[0.3447218616939823, 0.6552781383060177]",12,1,0.31281938304490237,0.881183313563104,3.753832596538828,10.574199762757248
422,11,10,"[0.3447218616939823, 0.6552781383060177]",14,0,0.2192132556104615,0.8905979527894593,3.068985578546461,12.46837133905243
423,11,10,"[0.3447218616939823, 0.6552781383060177]",14,1,0.2300190657455368,0.91290301038344,3.220266920437515,12.78064214536816
424,12,10,"[0.3447218616939823, 0.6552781383060177]",4,0,0.18787021622829816,0.8418368968885521,0.7514808649131927,3.3673475875542085
425,12,10,"[0.3447218616939823, 0.6552781383060177]",4,1,0.20706064434546448,0.928642474620804,0.8282425773818579,3.714569898483216
426,13,10,"[0.3447218616939823, 0.6552781383060177]",80,0,0.5406134756076193,0.7058753452258185,43.24907804860955,56.47002761806548
427,13,10,"[0.3447218616939823, 0.6552781383060177]",80,1,0.18612386492407462,0.6518012317836956,14.88990919392597,52.14409854269565
428,14,10,"[0.3447218616939823, 0.6552781383060177]",26,0,0.23787406255663823,0.8977253553866694,6.184725626472594,23.340859240053405
