,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
66,6,3,"[0.10341905812232488, 0.896580941877675]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
67,7,3,"[0.10341905812232488, 0.896580941877675]",80,0.058816242407096445,0.9668140538374862,4.705299392567715,77.3451243069989,0,0.9,1000,False,True,"[128, 128]",False
68,8,3,"[0.10341905812232488, 0.896580941877675]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
69,9,3,"[0.10341905812232488, 0.896580941877675]",80,0.030747856896685476,0.9387837508071826,2.459828551734838,75.1027000645746,0,0.9,1000,False,True,"[128, 128]",False
70,10,3,"[0.10341905812232488, 0.896580941877675]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
71,11,3,"[0.10341905812232488, 0.896580941877675]",80,0.0728313945138591,0.9656982764988827,5.826511561108728,77.25586211991062,0,0.9,1000,False,True,"[128, 128]",False
72,12,3,"[0.10341905812232488, 0.896580941877675]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",False
73,13,3,"[0.10341905812232488, 0.896580941877675]",80,0.05159270401614875,0.9520516197136388,4.1274163212919,76.1641295770911,0,0.9,1000,False,True,"[128, 128]",False
74,14,3,"[0.10341905812232488, 0.896580941877675]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
75,15,3,"[0.10341905812232488, 0.896580941877675]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
76,16,3,"[0.10341905812232488, 0.896580941877675]",80,0.06485024572439405,0.9653091954712147,5.188019657951523,77.22473563769718,0,0.9,1000,False,True,"[128, 128]",False
77,17,3,"[0.10341905812232488, 0.896580941877675]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,1000,False,True,"[128, 128]",False
78,18,3,"[0.10341905812232488, 0.896580941877675]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
79,19,3,"[0.10341905812232488, 0.896580941877675]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",False
80,0,4,"[0.13757432459039967, 0.8624256754096002]",80,0.007263008411836945,0.9077334378954566,0.5810406729469556,72.61867503163653,0,0.9,1000,False,True,"[128, 128]",False
