,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
401,1,20,"[0.6898688405534387, 0.3101311594465614]",80,0.9658789561269134,0.5910322583607908,77.27031649015308,47.28258066886326,0,0.9,1000,False,True,"[128, 128]",False
402,2,20,"[0.6898688405534387, 0.3101311594465614]",80,0.8711959579052344,0.6262511347795966,69.69567663241875,50.10009078236773,0,0.9,1000,False,True,"[128, 128]",False
403,3,20,"[0.6898688405534387, 0.3101311594465614]",10,0.6803850346879637,0.44940088607936335,6.803850346879638,4.494008860793634,0,0.9,1000,False,True,"[128, 128]",False
404,4,20,"[0.6898688405534387, 0.3101311594465614]",80,0.9350783395702971,0.5938695706063076,74.80626716562377,47.50956564850461,0,0.9,1000,False,True,"[128, 128]",False
405,5,20,"[0.6898688405534387, 0.3101311594465614]",80,0.8866614612236973,0.6029615023053226,70.93291689789578,48.23692018442581,0,0.9,1000,False,True,"[128, 128]",False
406,6,20,"[0.6898688405534387, 0.3101311594465614]",16,0.8122240589509592,0.5208740803255578,12.995584943215347,8.333985285208925,0,0.9,1000,False,True,"[128, 128]",False
407,7,20,"[0.6898688405534387, 0.3101311594465614]",80,0.938669073472109,0.6008560353601184,75.09352587776873,48.06848282880947,0,0.9,1000,False,True,"[128, 128]",False
408,8,20,"[0.6898688405534387, 0.3101311594465614]",80,0.8472931490025586,0.6171758084993922,67.78345192020468,49.37406467995138,0,0.9,1000,False,True,"[128, 128]",False
409,9,20,"[0.6898688405534387, 0.3101311594465614]",80,0.63527390566175,0.7283073868057709,50.82191245294,58.26459094446167,0,0.9,1000,False,True,"[128, 128]",False
410,10,20,"[0.6898688405534387, 0.3101311594465614]",80,0.8260780462640975,0.6439395273870214,66.0862437011278,51.51516219096172,0,0.9,1000,False,True,"[128, 128]",False
411,11,20,"[0.6898688405534387, 0.3101311594465614]",80,0.9108698525597395,0.5894817927995778,72.86958820477916,47.15854342396622,0,0.9,1000,False,True,"[128, 128]",False
412,12,20,"[0.6898688405534387, 0.3101311594465614]",80,0.5978695957071585,0.7245308223574993,47.82956765657268,57.96246578859995,0,0.9,1000,False,True,"[128, 128]",False
413,13,20,"[0.6898688405534387, 0.3101311594465614]",41,0.6572250593437707,0.639389080505435,26.9462274330946,26.214952300722832,0,0.9,1000,False,True,"[128, 128]",False
414,14,20,"[0.6898688405534387, 0.3101311594465614]",80,0.975710200790117,0.600880743209275,78.05681606320937,48.070459456742,0,0.9,1000,False,True,"[128, 128]",False
415,15,20,"[0.6898688405534387, 0.3101311594465614]",39,0.9023139995038286,0.5527209620202217,35.190245980649316,21.556117518788646,0,0.9,1000,False,True,"[128, 128]",False
416,16,20,"[0.6898688405534387, 0.3101311594465614]",37,0.6691747997772522,0.6749628056533045,24.759467591758334,24.973623809172263,0,0.9,1000,False,True,"[128, 128]",False
417,17,20,"[0.6898688405534387, 0.3101311594465614]",80,0.9188479607225546,0.5940263034711023,73.50783685780436,47.522104277688186,0,0.9,1000,False,True,"[128, 128]",False
418,18,20,"[0.6898688405534387, 0.3101311594465614]",11,0.7508655265161426,0.38312402483519475,8.259520791677568,4.214364273187142,0,0.9,1000,False,True,"[128, 128]",False
419,19,20,"[0.6898688405534387, 0.3101311594465614]",80,0.9340493930956875,0.5794557703590577,74.723951447655,46.35646162872462,0,0.9,1000,False,True,"[128, 128]",False
420,0,21,"[0.7243971294044027, 0.27560287059559735]",19,0.7839278324352634,0.49530773312052345,14.894628816270005,9.410846929289946,0,0.9,1000,False,True,"[128, 128]",False
421,1,21,"[0.7243971294044027, 0.27560287059559735]",23,0.7763302372659665,0.5318640118426526,17.85559545711723,12.23287227238101,0,0.9,1000,False,True,"[128, 128]",False
422,2,21,"[0.7243971294044027, 0.27560287059559735]",80,0.902878523641729,0.5977526378882632,72.23028189133832,47.820211031061056,0,0.9,1000,False,True,"[128, 128]",False
423,3,21,"[0.7243971294044027, 0.27560287059559735]",80,0.962903355908318,0.5961001912675223,77.03226847266544,47.688015301401784,0,0.9,1000,False,True,"[128, 128]",False
424,4,21,"[0.7243971294044027, 0.27560287059559735]",68,0.5483249288833535,0.7330557061679178,37.28609516406804,49.84778801941841,0,0.9,1000,False,True,"[128, 128]",False
425,5,21,"[0.7243971294044027, 0.27560287059559735]",18,0.8544489772450894,0.5167118249076642,15.38008159041161,9.300812848337955,0,0.9,1000,False,True,"[128, 128]",False
426,6,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9662801689886751,0.6119840172687869,77.302413519094,48.958721381502954,0,0.9,1000,False,True,"[128, 128]",False
427,7,21,"[0.7243971294044027, 0.27560287059559735]",80,0.856344355862206,0.609362299682924,68.50754846897648,48.748983974633916,0,0.9,1000,False,True,"[128, 128]",False
428,8,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9654903310474292,0.607243554245123,77.23922648379434,48.57948433960984,0,0.9,1000,False,True,"[128, 128]",False
429,9,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9112786755407198,0.620015726318295,72.90229404325758,49.60125810546361,0,0.9,1000,False,True,"[128, 128]",False
430,10,21,"[0.7243971294044027, 0.27560287059559735]",80,0.44027295981191594,0.7737984472453333,35.221836784953275,61.90387577962667,0,0.9,1000,False,True,"[128, 128]",False
431,11,21,"[0.7243971294044027, 0.27560287059559735]",80,0.902239281926326,0.6170559319397698,72.17914255410608,49.36447455518159,0,0.9,1000,False,True,"[128, 128]",False
432,12,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9435524357863644,0.5892697376672708,75.48419486290915,47.14157901338166,0,0.9,1000,False,True,"[128, 128]",False
433,13,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9029426888862894,0.587324928737477,72.23541511090315,46.98599429899816,0,0.9,1000,False,True,"[128, 128]",False
434,14,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9324519436951663,0.6034026508728465,74.5961554956133,48.27221206982772,0,0.9,1000,False,True,"[128, 128]",False
435,15,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9674097515688777,0.6006456500215331,77.39278012551021,48.05165200172265,0,0.9,1000,False,True,"[128, 128]",False
436,16,21,"[0.7243971294044027, 0.27560287059559735]",80,0.786316330661001,0.6379817426075811,62.90530645288008,51.03853940860649,0,0.9,1000,False,True,"[128, 128]",False
437,17,21,"[0.7243971294044027, 0.27560287059559735]",80,0.9536587626809847,0.5870092821766131,76.29270101447878,46.96074257412905,0,0.9,1000,False,True,"[128, 128]",False
438,18,21,"[0.7243971294044027, 0.27560287059559735]",80,0.8647533507659306,0.6121523129067103,69.18026806127445,48.97218503253683,0,0.9,1000,False,True,"[128, 128]",False
439,19,21,"[0.7243971294044027, 0.27560287059559735]",80,0.45439344409810334,0.7771959906231658,36.351475527848265,62.17567924985327,0,0.9,1000,False,True,"[128, 128]",False
440,0,22,"[0.7588437070042958, 0.24115629299570424]",80,0.9563697083157203,0.5815755843205006,76.50957666525763,46.526046745640045,0,0.9,1000,False,True,"[128, 128]",False
